TICKER,company_name,role,Folder Name
KSS,Kohls Corp,target/PEER,0JRL.L
PTON,Peloton Interactive Inc.,target/PEER,PTON 
SNAP,Snap Inc.,target/peer,SNAP
TSLA,Tesla Inc.,target/peer,TL0.DE
VOW3.DE,Volkswagen AG,target/PEER,VOW3.DE
BCS,Barclays plc,target/peer,BCS
BA,The Boeing Company,target,BOE.L
BBBY,Bed Bath & Beyond Inc.,target,0HMI.L
BHC,Bausch Health Companies Inc. (Valeant),target,BHC.TO
EFX,Equifax Inc.,target,0II3.L
EXC,Exelon Corporation,target,0IJN.L
FXLV,F45 Training Holdings Inc.,target,FXLV
GE,General Electric Company,target,GEC.L
HOOD,Robinhood Markets Inc.,target,HOOD
INTC,Intel Corporation,target,INTC
KBNT,Kubient Inc.,target,KBNT
NKLA,Nikola Corporation,target,NKLA
OTRK,Ontrak Inc.,target,OTRK 
RNO.PA,Renault SA,target,RNO.PA
UAL,United Airlines Holdings Inc.,target,0LIU.L
WFC,Wells Fargo & Company,target,NWT.DE
0R0P.L,Blackberry,target,0R0P.L
GRPN,Groupon,target,GRPN
TWTR,Twitter,target,TWTR
TXN,Texas Instruments,peer,TXN
TSM,TSM,peer,TSM
STM,STMicroelectronics,peer,STM
CDNS,Cadence Design Systems,peer,CDNS
AMAT,applied materials,peer,AMAT
005930.KS,Samsung Electronics,peer,005930.KS
AMKR,amkor,peer,AMKR
MU,Micron,peer,MU
ROST,Ross Stores,peer,ROST
RTX,RTX Corporation,peer,RTX
0175.HK,Geely Automobile Holdings,peer,GRU.VI
035420.KS,NAVER Corp,peer,035420.KS
0700.HK,Tencent Holdings Ltd,peer,0700 HK
1024.HK,Kuaishou Technology,peer,1024 HK
1810.HK,Xiaomi Corporation (EV),peer,1810 HK
2208.HK,Xinjiang Goldwind Science & Technology,peer,2208 hk
4536.T,Santen Pharmaceutical Co. Ltd.,peer,4536.T
4689.T,LY Corporation (LINE/Yahoo Japan),peer,4689.T
4755.T,Rakuten Group (Rakuten Securities),peer,4755.T
6702.T,Fujitsu Limited,peer,6702.T
7011.T,Mitsubishi Heavy Industries,peer,7011.T 
8473.T,SBI Holdings (SBI Securities),peer,8473.T 
